"","STUDY_ID_PLOT","duration_plot","richness_change","Jbeta","Jtu","Jne","scaleacc_25","e","e_2","e_5","e_25","e_50","e_75","e_100","e_hpd","e_hpd2","e_hpd5","e_hpd25","e_hpd50","e_hpd75","e_hpd100","STUDY_ID","PLOT","START_YEAR","END_YEAR","duration","TAXA","LATITUDE","LONGITUDE","AREA_SQ_KM","NUMBER_OF_SAMPLES","ABUNDANCE_TYPE","AB_BIO","BIOMASS_TYPE","PROTECTED_AREA","cell","duration_plot_center","area_center","hpd_q","scalehpd_25"
"1",1,13,-3,0.384615384615385,0.2,0.184615384615385,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","1",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-6.10400829302004,-1226235.19659698,"Moderate",0.00175849179277299
"2",2,9,-6,0.615384615384615,0.285714285714286,0.32967032967033,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","12",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-10.10400829302,-1226235.19659698,"Moderate",0.00175849179277299
"3",3,13,-1,0.25,0.181818181818182,0.0681818181818182,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","2",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-6.10400829302004,-1226235.19659698,"Moderate",0.00175849179277299
"4",4,13,-3,0.5625,0.461538461538462,0.100961538461538,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","34",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-6.10400829302004,-1226235.19659698,"Moderate",0.00175849179277299
"5",5,13,-6,0.615384615384615,0.285714285714286,0.32967032967033,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","35",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-6.10400829302004,-1226235.19659698,"Moderate",0.00175849179277299
"6",6,13,1,0.5,0.444444444444444,0.0555555555555556,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","36",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-6.10400829302004,-1226235.19659698,"Moderate",0.00175849179277299
"7",7,9,1,0.384615384615385,0.333333333333333,0.0512820512820513,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","37",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-10.10400829302,-1226235.19659698,"Moderate",0.00175849179277299
"8",8,13,-1,0.142857142857143,0,0.142857142857143,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","38",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-6.10400829302004,-1226235.19659698,"Moderate",0.00175849179277299
"9",9,13,1,0.642857142857143,0.615384615384615,0.0274725274725275,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","39",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-6.10400829302004,-1226235.19659698,"Moderate",0.00175849179277299
"10",10,9,3,0.6,0.5,0.1,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","4",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-10.10400829302,-1226235.19659698,"Moderate",0.00175849179277299
