"","STUDY_ID_PLOT","richness_change","Jbeta","Jtu","Jne"
"1","10_1","-3","0.384615384615385","0.2","0.184615384615385"
"2","10_12","-6","0.615384615384615","0.285714285714286","0.32967032967033"
"3","10_2","-1","0.25","0.181818181818182","0.0681818181818182"
"4","10_34","-3","0.5625","0.461538461538462","0.100961538461538"
"5","10_35","-6","0.615384615384615","0.285714285714286","0.32967032967033"
"6","10_36","1","0.5","0.444444444444444","0.0555555555555556"
"7","10_37","1","0.384615384615385","0.333333333333333","0.0512820512820513"
"8","10_38","-1","0.142857142857143","0","0.142857142857143"
"9","10_39","1","0.642857142857143","0.615384615384615","0.0274725274725275"
"10","10_4","3","0.6","0.5","0.1"
"11","10_40","0","0.363636363636364","0.363636363636364","0"
"12","10_45","0","0.307692307692308","0.307692307692308","0"
"13","10_46","-1","0.538461538461538","0.5","0.0384615384615385"
"14","10_47","-2","0.428571428571429","0.333333333333333","0.0952380952380952"
"15","10_5","-3","0.428571428571429","0","0.428571428571429"
"16","10_71","1","0.272727272727273","0.2","0.0727272727272727"
"17","10_73","-1","0.230769230769231","0.166666666666667","0.0641025641025641"
"18","10_74","-3","0.3","0","0.3"
"19","10_9","1","0.5","0.461538461538462","0.0384615384615385"
"20","18_1","5","0.5625","0.363636363636364","0.198863636363636"
"21","18_10","3","0.708333333333333","0.666666666666667","0.0416666666666667"
"22","18_11","2","0.666666666666667","0.631578947368421","0.0350877192982456"
"23","18_12","1","0.619047619047619","0.6","0.019047619047619"
"24","18_13","-3","0.6875","0.615384615384615","0.0721153846153846"
"25","18_14","5","0.583333333333333","0.285714285714286","0.297619047619048"
"26","18_15","-3","0.529411764705882","0.428571428571429","0.100840336134454"
"27","18_16","0","0.695652173913043","0.695652173913043","0"
"28","18_17","4","0.736842105263158","0.666666666666667","0.0701754385964912"
"29","18_18","3","0.590909090909091","0.526315789473684","0.0645933014354067"
"30","18_19","1","0.647058823529412","0.625","0.0220588235294118"
"31","18_2","0","0.533333333333333","0.533333333333333","0"
"32","18_20","-3","0.523809523809524","0.444444444444444","0.0793650793650794"
"33","18_21","-3","0.35","0.235294117647059","0.114705882352941"
"34","18_22","0","0.666666666666667","0.666666666666667","0"
"35","18_23","-4","0.526315789473684","0.4","0.126315789473684"
"36","18_24","-3","0.647058823529412","0.571428571428571","0.0756302521008403"
"37","18_25","4","0.6","0.5","0.1"
"38","18_26","3","0.4375","0.307692307692308","0.129807692307692"
"39","18_3","-6","0.736842105263158","0.615384615384615","0.121457489878543"
"40","18_4","0","0.4","0.4","0"
"41","18_5","2","0.545454545454545","0.444444444444444","0.101010101010101"
"42","18_6","2","0.555555555555556","0.5","0.0555555555555556"
"43","18_7","3","0.684210526315789","0.625","0.0592105263157895"
"44","18_8","-3","0.5","0.363636363636364","0.136363636363636"
"45","18_9","5","0.647058823529412","0.5","0.147058823529412"
"46","194_10B","8","0.7","0.673913043478261","0.0260869565217391"
"47","194_11B","-47","1","1","0"
"48","194_11C","-63","0.910112359550562","0.692307692307692","0.217804667242869"
"49","194_11D","4","0.901960784313726","0.893617021276596","0.00834376303712975"
"50","194_11M","-36","0.659090909090909","0.423076923076923","0.236013986013986"
"51","194_12A","-15","1","1","0"
"52","194_13A","59","0.832167832167832","0.714285714285714","0.117882117882118"
"53","194_13C","39","0.907407407407407","0.666666666666667","0.240740740740741"
"54","194_13D","6","0.805555555555556","0.787878787878788","0.0176767676767677"
"55","194_13F","119","0.991803278688525","0.666666666666667","0.325136612021858"
"56","194_15B","49","0.798245614035088","0.646153846153846","0.152091767881242"
"57","194_15C","8","1","1","0"
"58","194_15D","51","0.778846153846154","0.566037735849057","0.212808417997097"
"59","194_15E","131","0.952054794520548","0.533333333333333","0.418721461187215"
"60","194_15F","95","0.859872611464968","0.645161290322581","0.214711321142388"
"61","194_15G","-70","0.987654320987654","0.909090909090909","0.0785634118967452"
"62","194_16B","151","0.993827160493827","0.909090909090909","0.0847362514029181"
"63","194_16C","1","0.664473684210526","0.662251655629139","0.00222202858138724"
"64","194_16E","-21","0.848101265822785","0.793103448275862","0.0549978175469227"
"65","194_16H","89","0.932692307692308","0.533333333333333","0.399358974358974"
"66","194_17A","-22","1","1","0"
"67","194_17B","-59","0.950980392156863","0.883720930232558","0.0672594619243046"
"68","194_17C","122","0.978723404255319","0.842105263157895","0.136618141097424"
"69","194_18A","111","0.933774834437086","0.75","0.183774834437086"
"70","194_18B","-1","0.780821917808219","0.777777777777778","0.0030441400304414"
"71","194_19A","39","1","1","0"
"72","194_20B","-13","0.715909090909091","0.666666666666667","0.0492424242424242"
"73","194_21A","38","0.747663551401869","0.608695652173913","0.138967899227956"
"74","194_21B","-23","0.806818181818182","0.738461538461539","0.0683566433566434"
"75","194_22B","28","1","1","0"
"76","194_22C","-43","0.745901639344262","0.607594936708861","0.138306702635402"
"77","194_22D","-60","0.985074626865672","0.857142857142857","0.127931769722815"
"78","194_22F","59","1","1","0"
"79","194_23A","21","0.679558011049724","0.6375","0.0420580110497238"
"80","194_23B","27","1","1","0"
"81","194_23C","-42","0.901960784313726","0.444444444444444","0.457516339869281"
"82","194_23D","3","0.878787878787879","0.866666666666667","0.0121212121212121"
"83","194_23F","-53","0.841584158415842","0.666666666666667","0.174917491749175"
"84","194_23G","1","0.927272727272727","0.925925925925926","0.00134680134680135"
"85","194_23H","79","0.875862068965517","0.727272727272727","0.14858934169279"
"86","194_24A","-18","0.956521739130435","0.928571428571429","0.0279503105590062"
"87","194_24B","-10","0.791666666666667","0.736842105263158","0.0548245614035088"
"88","194_24C","-26","1","1","0"
"89","194_25A","-5","1","1","0"
"90","194_25B","7","0.875","0","0.875"
"91","194_25C","83","0.895161290322581","0.682926829268293","0.212234461054288"
"92","194_26B","61","0.773049645390071","0.6","0.173049645390071"
"93","194_26C","7","0.671232876712329","0.636363636363636","0.0348692403486924"
"94","194_26D","-60","0.929577464788732","0.545454545454545","0.384122919334187"
"95","194_27A","28","0.947368421052632","0.8","0.147368421052632"
"96","194_27B","70","0.985915492957746","0","0.985915492957746"
